,days,infected,exposed,susceptible,recovered,total
29588,295.88,0.0015753690291027398,8.588114014585515e-05,153.62621300486168,4846.372125744961,4999.999999999992
29589,295.89,0.0015744380330626597,8.583038685457654e-05,153.6262128838527,4846.372126847719,4999.999999999992
29590,295.90000000000003,0.001573507587213225,8.577966355708724e-05,153.62621276291523,4846.372127949826,4999.999999999992
29591,295.91,0.0015725776912292899,8.57289702356617e-05,153.6262126420492,4846.372129051281,4999.999999999992
29592,295.92,0.0015716483447859007,8.567830687258484e-05,153.62621252125464,4846.372130152085,4999.999999999992
29593,295.93,0.0015707195475582957,8.562767345015205e-05,153.62621240053144,4846.372131252239,4999.999999999992
29594,295.94,0.0015697912992219051,8.557706995066917e-05,153.6262122798796,4846.372132351743,4999.999999999992
29595,295.95,0.0015688635994523512,8.552649635645252e-05,153.62621215929906,4846.372133450597,4999.999999999992
29596,295.96,0.0015679364479254474,8.547595264982885e-05,153.62621203878976,4846.372134548802,4999.999999999993
29597,295.97,0.0015670098443171993,8.542543881313535e-05,153.6262119183517,4846.3721356463575,4999.999999999993
29598,295.98,0.0015660837883038035,8.53749548287197e-05,153.62621179798478,4846.3721367432645,4999.999999999993
29599,295.99,0.0015651582795616482,8.532450067893993e-05,153.626211677689,4846.372137839523,4999.999999999993
29600,296.0,0.001564233317767313,8.527407634616456e-05,153.62621155746436,4846.372138935134,4999.999999999993
29601,296.01,0.0015633089025975683,8.522368181277251e-05,153.62621143731073,4846.372140030097,4999.999999999993
29602,296.02,0.0015623850337293755,8.517331706115311e-05,153.62621131722813,4846.372141124413,4999.999999999992
29603,296.03000000000003,0.0015614617108398873,8.512298207370609e-05,153.6262111972165,4846.372142218082,4999.999999999992
29604,296.04,0.0015605389336064467,8.50726768328416e-05,153.62621107727577,4846.372143311106,4999.999999999992
29605,296.05,0.0015596167017065878,8.502240132098019e-05,153.62621095740593,4846.372144403483,4999.999999999992
29606,296.06,0.0015586950148180352,8.497215552055276e-05,153.62621083760692,4846.372145495215,4999.999999999992
29607,296.07,0.0015577738726187036,8.492193941400063e-05,153.6262107178787,4846.372146586301,4999.999999999992
29608,296.08,0.0015568532747866986,8.487175298377549e-05,153.62621059822126,4846.372147676742,4999.999999999991
29609,296.09000000000003,0.0015559332210003155,8.482159621233939e-05,153.62621047863453,4846.37214876654,4999.999999999992
29610,296.1,0.00155501371093804,8.477146908216476e-05,153.62621035911846,4846.372149855693,4999.999999999992
29611,296.11,0.0015540947442785477,8.472137157573436e-05,153.62621023967301,4846.372150944203,4999.999999999992
29612,296.12,0.0015531763207007041,8.467130367554135e-05,153.62621012029817,4846.37215203207,4999.999999999992
29613,296.13,0.0015522584398835646,8.462126536408918e-05,153.62621000099386,4846.372153119293,4999.999999999993
29614,296.14,0.0015513411015063744,8.457125662389169e-05,153.62620988176008,4846.372154205874,4999.999999999992
29615,296.15000000000003,0.0015504243052485676,8.452127743747302e-05,153.62620976259674,4846.372155291812,4999.999999999992
29616,296.16,0.0015495080507897687,8.447132778736764e-05,153.62620964350384,4846.37215637711,4999.999999999992
29617,296.17,0.0015485923378097907,8.442140765612036e-05,153.6262095244813,4846.372157461765,4999.999999999992
29618,296.18,0.0015476771659886362,8.437151702628631e-05,153.62620940552912,4846.37215854578,4999.999999999992
29619,296.19,0.0015467625350064967,8.43216558804309e-05,153.62620928664722,4846.372159629153,4999.999999999992
29620,296.2,0.001545848444543753,8.427182420112986e-05,153.62620916783558,4846.372160711887,4999.999999999991
29621,296.21,0.0015449348942809746,8.422202197096923e-05,153.62620904909417,4846.372161793981,4999.999999999991
29622,296.22,0.0015440218838989198,8.417224917254532e-05,153.62620893042293,4846.372162875436,4999.999999999992
29623,296.23,0.0015431094130785355,8.412250578846472e-05,153.6262088118218,4846.372163956251,4999.999999999992
29624,296.24,0.0015421974815009575,8.407279180134433e-05,153.62620869329078,4846.372165036428,4999.999999999992
29625,296.25,0.0015412860888475096,8.402310719381131e-05,153.6262085748298,4846.372166115966,4999.999999999992
29626,296.26,0.001540375234799704,8.397345194850308e-05,153.62620845643883,4846.372167194866,4999.999999999992
29627,296.27,0.0015394649190392413,8.392382604806731e-05,153.62620833811783,4846.372168273128,4999.999999999991
29628,296.28000000000003,0.00153855514124801,8.387422947516195e-05,153.62620821986675,4846.372169350754,4999.999999999992
29629,296.29,0.0015376459011080868,8.382466221245519e-05,153.62620810168556,4846.372170427742,4999.999999999991
29630,296.3,0.0015367371983017362,8.377512424262544e-05,153.6262079835742,4846.372171504095,4999.999999999992
29631,296.31,0.0015358290325114103,8.372561554836139e-05,153.62620786553265,4846.3721725798105,4999.999999999991
29632,296.32,0.001534921403419749,8.367613611236193e-05,153.62620774756084,4846.3721736548905,4999.999999999991
29633,296.33,0.00153401431070958,8.362668591733618e-05,153.62620762965875,4846.372174729336,4999.999999999991
29634,296.34000000000003,0.001533107754063918,8.357726494600348e-05,153.62620751182635,4846.372175803146,4999.999999999992
29635,296.35,0.0015322017331659652,8.352787318109338e-05,153.62620739406358,4846.372176876322,4999.999999999992
29636,296.36,0.0015312962476991111,8.347851060534565e-05,153.62620727637042,4846.372177948863,4999.999999999992
29637,296.37,0.0015303912973469325,8.342917720151024e-05,153.6262071587468,4846.372179020771,4999.999999999993
29638,296.38,0.0015294868817931928,8.337987295234729e-05,153.6262070411927,4846.372180092045,4999.999999999993
29639,296.39,0.0015285830007218423,8.333059784062717e-05,153.62620692370808,4846.372181162686,4999.999999999992
29640,296.40000000000003,0.0015276796538170182,8.32813518491304e-05,153.62620680629288,4846.372182232693,4999.999999999992
29641,296.41,0.0015267768407630446,8.323213496064767e-05,153.62620668894706,4846.372183302069,4999.999999999992
29642,296.42,0.0015258745612444318,8.318294715797986e-05,153.6262065716706,4846.372184370813,4999.999999999992
29643,296.43,0.0015249728149458767,8.3133788423938e-05,153.62620645446344,4846.372185438925,4999.999999999992
29644,296.44,0.0015240716015522625,8.308465874134329e-05,153.62620633732556,4846.372186506406,4999.999999999992
29645,296.45,0.0015231709207486586,8.303555809302707e-05,153.62620622025688,4846.372187573256,4999.999999999992
29646,296.46,0.0015222707722203207,8.298648646183083e-05,153.6262061032574,4846.372188639476,4999.999999999992
29647,296.47,0.00152137115565269,8.29374438306062e-05,153.62620598632705,4846.3721897050655,4999.999999999992
29648,296.48,0.0015204720707313944,8.288843018221496e-05,153.62620586946582,4846.372190770026,4999.999999999993
29649,296.49,0.001519573517142247,8.2839445499529e-05,153.62620575267366,4846.372191834356,4999.999999999993
29650,296.5,0.0015186754945712465,8.279048976543034e-05,153.6262056359505,4846.372192898058,4999.999999999993
29651,296.51,0.0015177780027045775,8.274156296281112e-05,153.62620551929632,4846.3721939611305,4999.999999999993
29652,296.52,0.0015168810412286098,8.269266507457358e-05,153.6262054027111,4846.372195023575,4999.999999999993
29653,296.53000000000003,0.001515984609829899,8.264379608363006e-05,153.62620528619476,4846.372196085392,4999.999999999993
29654,296.54,0.0015150887081951854,8.259495597290303e-05,153.62620516974727,4846.372197146581,4999.999999999993
29655,296.55,0.0015141933360113945,8.2546144725325e-05,153.6262050533686,4846.372198207143,4999.999999999993
29656,296.56,0.0015132984929656372,8.249736232383862e-05,153.62620493705873,4846.372199267078,4999.999999999992
29657,296.57,0.001512404178745209,8.244860875139659e-05,153.62620482081758,4846.372200326387,4999.999999999993
29658,296.58,0.00151151039303759,8.239988399096168e-05,153.62620470464512,4846.37220138507,4999.999999999993
29659,296.59000000000003,0.0015106171355304457,8.235118802550676e-05,153.62620458854133,4846.372202443127,4999.999999999992
29660,296.6,0.0015097244059116253,8.230252083801472e-05,153.62620447250615,4846.372203500559,4999.999999999993
29661,296.61,0.0015088322038691632,8.225388241147855e-05,153.62620435653952,4846.372204557367,4999.999999999993
29662,296.62,0.0015079405290912777,8.220527272890126e-05,153.62620424064144,4846.372205613549,4999.999999999993
29663,296.63,0.0015070493812663717,8.215669177329592e-05,153.62620412481186,4846.372206669108,4999.999999999993
29664,296.64,0.0015061587600830317,8.210813952768562e-05,153.62620400905072,4846.372207724043,4999.999999999993
29665,296.65000000000003,0.001505268665230029,8.205961597510352e-05,153.626203893358,4846.3722087783535,4999.999999999993
29666,296.66,0.0015043790963963181,8.201112109859277e-05,153.62620377773365,4846.372209832041,4999.999999999993
29667,296.67,0.0015034900532710379,8.196265488120655e-05,153.62620366217763,4846.372210885107,4999.999999999993
29668,296.68,0.0015026015355435105,8.191421730600808e-05,153.6262035466899,4846.37221193755,4999.999999999993
29669,296.69,0.0015017135429032421,8.186580835607056e-05,153.62620343127043,4846.372212989371,4999.999999999993
29670,296.7,0.001500826075039922,8.181742801447719e-05,153.62620331591916,4846.372214040571,4999.999999999993
29671,296.71,0.001499939131643423,8.17690762643212e-05,153.62620320063604,4846.372215091149,4999.999999999993
29672,296.72,0.0014990527124038012,8.172075308870577e-05,153.62620308542105,4846.372216141106,4999.999999999993
29673,296.73,0.0014981668170112959,8.167245847074412e-05,153.62620297027416,4846.372217190443,4999.999999999993
29674,296.74,0.0014972814451563294,8.162419239355938e-05,153.62620285519532,4846.372218239159,4999.999999999992
29675,296.75,0.001496396596529507,8.157595484028471e-05,153.62620274018448,4846.3722192872565,4999.999999999993
29676,296.76,0.001495512270821617,8.152774579406322e-05,153.62620262524163,4846.372220334734,4999.999999999993
29677,296.77,0.00149462846772363,8.147956523804799e-05,153.6262025103667,4846.372221381593,4999.999999999993
29678,296.78000000000003,0.0014937451869266995,8.143141315540202e-05,153.62620239555966,4846.372222427833,4999.999999999993
29679,296.79,0.0014928624281221616,8.138328952929831e-05,153.62620228082045,4846.372223473454,4999.999999999992
29680,296.8,0.0014919801910015346,8.133519434291979e-05,153.62620216614906,4846.372224518458,4999.999999999993
29681,296.81,0.0014910984752565194,8.12871275794593e-05,153.62620205154542,4846.3722255628445,4999.999999999993
29682,296.82,0.0014902172805789987,8.123908922211963e-05,153.6262019370095,4846.372226606613,4999.999999999993
29683,296.83,0.0014893366066610376,8.119107925411351e-05,153.6262018225413,4846.372227649766,4999.999999999993
29684,296.84000000000003,0.001488456453194883,8.114309765866359e-05,153.62620170814074,4846.372228692301,4999.999999999993
29685,296.85,0.001487576819872964,8.109514441900241e-05,153.6262015938078,4846.372229734221,4999.999999999993
29686,296.86,0.001486697706387891,8.104721951837245e-05,153.6262014795424,4846.372230775525,4999.999999999994
29687,296.87,0.0014858191124324563,8.099932294002605e-05,153.62620136534454,4846.372231816214,4999.999999999994
29688,296.88,0.0014849410376996336,8.095145466722552e-05,153.62620125121416,4846.372232856287,4999.999999999994
29689,296.89,0.0014840634818825782,8.090361468324298e-05,153.62620113715124,4846.372233895746,4999.999999999994
29690,296.90000000000003,0.0014831864446746268,8.085580297136049e-05,153.62620102315572,4846.372234934591,4999.9999999999945
29691,296.91,0.0014823099257692974,8.080801951486997e-05,153.62620090922758,4846.372235972822,4999.9999999999945
29692,296.92,0.0014814339248602887,8.076026429707322e-05,153.62620079536674,4846.372237010439,4999.9999999999945
29693,296.93,0.0014805584416414806,8.07125373012819e-05,153.6262006815732,4846.372238047443,4999.9999999999945
29694,296.94,0.001479683475806934,8.066483851081754e-05,153.62620056784692,4846.372239083834,4999.999999999995
29695,296.95,0.0014788090270508908,8.061716790901153e-05,153.62620045418785,4846.372240119612,4999.9999999999945
29696,296.96,0.0014779350950677732,8.056952547920509e-05,153.62620034059594,4846.372241154778,4999.9999999999945
29697,296.97,0.0014770616795521843,8.052191120474932e-05,153.62620022707117,4846.372242189333,4999.9999999999945
