,days,susceptible,exposed,infected,recovered,total
23097,230.97,9.581968096457977,0.0075112280055604505,2.5152184176799883,4987.8953022578835,5000.000000000027
23098,230.98000000000002,9.58195604608666,0.007508255920866246,2.5142273527689274,4987.896308345251,5000.000000000027
23099,230.99,9.581944000478668,0.007505285017016564,2.5132366783396614,4987.897314036192,5000.000000000027
23100,231.0,9.581931959632112,0.00750231529353843,2.5122463942383595,4987.898319330863,5000.000000000027
23101,231.01,9.581919923545104,0.007499346749959065,2.511256500311251,4987.899324229421,5000.000000000027
23102,231.02,9.581907892215758,0.0074963793858058795,2.5102669964046265,4987.900328732021,5000.000000000027
23103,231.03,9.581895865642187,0.007493413200606477,2.5092778823648363,4987.90133283882,5000.000000000027
23104,231.04,9.581883843822503,0.007490448193888654,2.5082891580382918,4987.902336549973,5000.000000000028
23105,231.05,9.581871826754824,0.007487484365180397,2.507300823271464,4987.903339865637,5000.000000000028
23106,231.06,9.581859814437264,0.007484521714009889,2.506312877910886,4987.904342785966,5000.000000000028
23107,231.07,9.581847806867941,0.007481560239905499,2.50532532180315,4987.905345311117,5000.000000000028
23108,231.08,9.581835804044971,0.007478599942395793,2.5043381547949086,4987.906347441246,5000.000000000028
23109,231.09,9.581823805966472,0.007475640821009526,2.5033513767328754,4987.9073491765075,5000.000000000028
23110,231.1,9.581811812630564,0.007472682875275647,2.5023649874638245,4987.908350517058,5000.000000000028
23111,231.11,9.581799824035366,0.007469726104723292,2.5013789868345895,4987.909351463053,5000.000000000028
23112,231.12,9.581787840178999,0.0074667705088817945,2.5003933746920652,4987.910352014648,5000.000000000028
23113,231.13,9.581775861059581,0.007463816087280676,2.4994081508832062,4987.911352171998,5000.000000000028
23114,231.14000000000001,9.581763886675239,0.007460862839449648,2.4984233152550277,4987.912351935259,5000.000000000028
23115,231.15,9.581751917024091,0.007457910764918618,2.4974388676546044,4987.9133513045845,5000.000000000028
23116,231.16,9.581739952104263,0.007454959863217681,2.4964548079290725,4987.914350280132,5000.000000000028
23117,231.17000000000002,9.581727991913876,0.007452010133877124,2.4954711359256274,4987.915348862055,5000.000000000028
23118,231.18,9.581716036451057,0.007449061576427426,2.4944878514915247,4987.916347050509,5000.000000000028
23119,231.19,9.581704085713932,0.007446114190399255,2.493504954474081,4987.9173448456495,5000.000000000028
23120,231.20000000000002,9.581692139700626,0.007443167975323473,2.492522444720672,4987.918342247632,5000.000000000028
23121,231.21,9.581680198409268,0.007440222930731129,2.4915403220787344,4987.919339256609,5000.000000000028
23122,231.22,9.581668261837985,0.007437279056153467,2.4905585863957644,4987.920335872738,5000.000000000028
23123,231.23000000000002,9.581656329984904,0.007434336351121919,2.4895772375193186,4987.921332096173,5000.000000000028
23124,231.24,9.581644402848156,0.007431394815168107,2.488596275297013,4987.922327927067,5000.000000000027
23125,231.25,9.581632480425869,0.007428454447823845,2.4876156995765246,4987.923323365578,5000.000000000028
23126,231.26,9.581620562716175,0.007425515248621137,2.4866355102055895,4987.924318411858,5000.000000000028
23127,231.27,9.581608649717207,0.007422577217092178,2.4856557070320044,4987.925313066062,5000.000000000028
23128,231.28,9.581596741427095,0.007419640352769352,2.484676289903626,4987.926307328345,5000.000000000028
23129,231.29,9.581584837843973,0.007416704655185234,2.48369725866837,4987.927301198861,5000.000000000028
23130,231.3,9.581572938965975,0.007413770123872589,2.482718613174213,4987.928294677764,5000.000000000028
23131,231.31,9.581561044791234,0.007410836758364373,2.481740353269191,4987.929287765209,5000.000000000027
23132,231.32,9.581549155317889,0.007407904558193729,2.4807624788014,4987.93028046135,5000.000000000027
23133,231.33,9.581537270544072,0.007404973522893993,2.479784989618996,4987.931272766341,5000.000000000027
23134,231.34,9.58152539046792,0.007402043651998691,2.4788078855701943,4987.932264680337,5000.000000000026
23135,231.35,9.581513515087574,0.007399114945041535,2.4778311665032704,4987.933256203491,5000.000000000026
23136,231.36,9.581501644401168,0.00739618740155643,2.476854832266559,4987.9342473359575,5000.000000000026
23137,231.37,9.581489778406844,0.0073932610210774696,2.4758788827084555,4987.93523807789,5000.000000000026
23138,231.38,9.58147791710274,0.007390335803138937,2.4749033176774144,4987.936228429443,5000.000000000026
23139,231.39000000000001,9.581466060486997,0.007387411747275304,2.4739281370219497,4987.93721839077,5000.000000000026
23140,231.4,9.581454208557757,0.007384488853021233,2.4729533405906357,4987.9382079620245,5000.000000000026
23141,231.41,9.58144236131316,0.007381567119911576,2.4719789282321054,4987.939197143361,5000.0000000000255
23142,231.42000000000002,9.58143051875135,0.007378646547481371,2.4710048997950524,4987.940185934932,5000.0000000000255
23143,231.43,9.58141868087047,0.007375727135265848,2.4700312551282293,4987.941174336892,5000.0000000000255
23144,231.44,9.581406847668665,0.007372808882800426,2.4690579940804485,4987.942162349394,5000.0000000000255
23145,231.45000000000002,9.581395019144079,0.0073698917896207125,2.468085116500582,4987.9431499725915,5000.0000000000255
23146,231.46,9.581383195294858,0.007366975855262502,2.467112622237561,4987.9441372066385,5000.000000000026
23147,231.47,9.581371376119149,0.00736406107926178,2.4661405111403765,4987.945124051687,5000.000000000026
23148,231.48000000000002,9.581359561615098,0.0073611474611547205,2.4651687830580786,4987.946110507892,5000.000000000026
23149,231.49,9.581347751780854,0.007358235000477685,2.4641974378397777,4987.947096575405,5000.000000000026
23150,231.5,9.581335946614564,0.007355323696767225,2.463226475334643,4987.94808225438,5000.000000000026
23151,231.51,9.581324146114378,0.007352413549560079,2.4622558953919027,4987.949067544971,5000.000000000026
23152,231.52,9.581312350278445,0.007349504558393174,2.4612856978608453,4987.950052447329,5000.000000000026
23153,231.53,9.581300559104918,0.007346596722803627,2.460315882590818,4987.951036961608,5000.000000000026
23154,231.54,9.581288772591947,0.007343690042328741,2.459346449431227,4987.952021087961,5000.000000000026
23155,231.55,9.581276990737685,0.0073407845165060085,2.458377398231539,4987.953004826541,5000.000000000026
23156,231.56,9.581265213540284,0.007337880144873109,2.4574087288412794,4987.9539881775,5000.000000000026
23157,231.57,9.5812534409979,0.007334976926967911,2.4564404411100327,4987.954971140992,5000.000000000026
23158,231.58,9.581241673108686,0.007332074862328472,2.4554725348874427,4987.955953717168,5000.000000000026
23159,231.59,9.581229909870796,0.007329173950493034,2.454505010023212,4987.9569359061825,5000.000000000027
23160,231.6,9.581218151282387,0.007326274191000029,2.4535378663671037,4987.957917708187,5000.000000000027
23161,231.61,9.581206397341617,0.007323375583388077,2.452571103768939,4987.958899123333,5000.000000000027
23162,231.62,9.581194648046642,0.007320478127195984,2.4516047220785984,4987.959880151775,5000.000000000027
23163,231.63,9.581182903395622,0.0073175818219627445,2.450638721146021,4987.960860793663,5000.000000000027
23164,231.64000000000001,9.581171163386713,0.0073146866672275405,2.4496731008212067,4987.961841049152,5000.000000000027
23165,231.65,9.581159428018077,0.007311792662529741,2.4487078609542126,4987.962820918392,5000.000000000027
23166,231.66,9.581147697287873,0.007308899807408903,2.447743001395156,4987.963800401536,5000.000000000026
23167,231.67000000000002,9.581135971194263,0.00730600810140477,2.446778521994213,4987.964779498737,5000.000000000026
23168,231.68,9.581124249735407,0.007303117544057273,2.445814422601618,4987.965758210145,5000.000000000026
23169,231.69,9.581112532909469,0.007300228134906528,2.4448507030676656,4987.966736535915,5000.000000000026
23170,231.70000000000002,9.581100820714612,0.007297339873492842,2.4438873632427085,4987.967714476195,5000.000000000026
23171,231.71,9.581089113149002,0.007294452759356706,2.4429244029771584,4987.968692031141,5000.000000000026
23172,231.72,9.581077410210801,0.007291566792038798,2.441961822121486,4987.969669200902,5000.000000000026
23173,231.73000000000002,9.581065711898177,0.007288681971079983,2.4409996205262217,4987.970645985631,5000.000000000026
23174,231.74,9.581054018209294,0.007285798296021313,2.440037798041953,4987.971622385478,5000.0000000000255
23175,231.75,9.581042329142319,0.007282915766404026,2.4390763545193286,4987.972598400597,5000.0000000000255
23176,231.76,9.58103064469542,0.007280034381769548,2.4381152898090535,4987.973574031139,5000.0000000000255
23177,231.77,9.581018964866768,0.007277154141659489,2.4371546037618934,4987.9745492772545,5000.000000000025
23178,231.78,9.58100728965453,0.007274275045615648,2.436194296228672,4987.975524139096,5000.000000000025
23179,231.79,9.580995619056873,0.007271397093180007,2.4352343670602714,4987.976498616814,5000.000000000025
23180,231.8,9.580983953071971,0.007268520283894737,2.4342748161076337,4987.9774727105605,5000.000000000024
23181,231.81,9.580972291697996,0.007265644617302195,2.4333156432217584,4987.978446420487,5000.000000000024
23182,231.82,9.580960634933119,0.007262770092944923,2.432356848253704,4987.9794197467445,5000.000000000025
23183,231.83,9.580948982775512,0.0072598967103656474,2.4313984310545886,4987.980392689484,5000.000000000025
23184,231.84,9.58093733522335,0.007257024469107283,2.4304403914755874,4987.9813652488565,5000.000000000025
23185,231.85,9.580925692274807,0.00725415336871293,2.4294827293679355,4987.982337425013,5000.000000000025
23186,231.86,9.580914053928057,0.007251283408725874,2.4285254445829256,4987.983309218104,5000.000000000024
23187,231.87,9.580902420181275,0.007248414588689586,2.42756853697191,4987.984280628282,5000.000000000025
23188,231.88,9.580890791032639,0.007245546908147721,2.4266120063862986,4987.985251655697,5000.000000000024
